CJ Spiller,606,3547,5.9,32,37
Ryan Matthews,534,3280,6.1,39,48
Jahvid Best,364,2668,7.3,29,13
Dexter McCluster,304,1955,6.4,15,23
Toby Gerhart,671,3522,5.2,44,17
Ben Tate,678,3221,4.9,24,15
Montario Hardesty,560,2391,4.3,23,4
Joe McKnight,347,2213,6.4,13,7
John Conner,54,247,4.6,4,0
Anthony Dixon,910,3944,4.4,42,8
Jonathan Dwyer,517,3226,6.2,35,8
James Stark,698,3140,4.5,34,8
Trindon Holliday,115,775,6.7,4,4
Charles Scott,424,2317,5.5,32,0
Mark Ingram,572,3261,5.7,42,70
Ryan Williams,403,2162,5.3,30,1
Shane Vereen,556,2834,5.1,29,27
Mikel Leshoure,424,2557,6,23,5
Daniel Thomas,545,2850,5.2,52,12
Demarco Murray,759,3685,4.9,50,70
Stevan Ridley,306,1419,4.6,19,27
Alex Green,232,1652,7.1,20,5
Roy Helu,578,3404,5.9,28,14
Kendall Hunter,708,4181,5.9,37,12
Delone Carter,646,3104,4.8,24,3
Bilal Powell,436,2338,5.4,19,30
Jamie Harper,311,1311,4.2,12,0
Johnny White,246,1262,5.1,8,0
Jacquizz Rogers,788,3877,4.9,46,27
Dion Lewis,544,2860,5.3,30,31
Evan Royster,686,3932,5.7,29,4
Jordan Todman,616,3179,5.2,31,5
Allen Bradford,267,1585,5.9,16,1
Da'Rel Scott,430,2401,5.6,17,1
Anthony Allen,546,3036,5.6,33,1
Baron Batch,467,2501,5.4,27,1
Stanley Havili,116,1290,11.1,12,1
Trent Richardson,540,3130,5.8,35,18
Doug Martin,617,3431,5.6,43,43
David Wilson,462,2662,5.8,18,5
Isaiah Pead,545,3288,6,27,1
LaMichael James,771,5082,6.6,53,2
Ronnie Hillman,573,3243,5.7,36,18
Bernard Pierce,663,3570,5.4,53,10
Lamar Miller,335,1918,5.7,15,47
Robert Turbin,565,3315,5.9,40,17
Chris Rainey,396,2464,6.2,13,1
Vick Ballard,379,2157,5.7,29,5
Alfred Morris,733,3529,4.8,27,39
Cyrus Gray,632,3298,5.2,30,1
Dan Herron,592,2869,4.8,32,5
Terrance Ganaway,473,2592,5.5,34,0
Bryce Brown,104,476,4.6,3,10
Edwin Baker,462,2293,5,19,1